"Date","FullDate","RH","AirTemp","SoilTemp","Rainfall","DewPoint","GustSpeed","LeafWetness","SoilMoisture","WindSpeed","WindDirection"
2020-05-19,"05/19/20 15:45:00",56.2,16.7,18.44,0,7.95,3,8.2,0.3011,1.7,100
2020-05-19,"05/19/20 15:50:00",55.3,16.68,18.44,0,7.69,3,8.2,0.3011,1.7,101
2020-05-19,"05/19/20 15:55:00",55.9,16.72,18.44,0,7.89,3.7,5.9,0.3011,1.3,107
2020-05-19,"05/19/20 16:00:00",56,16.77,18.46,0,7.96,4,3.5,0.3011,1.3,111
2020-05-19,"05/19/20 16:05:00",55.9,16.75,18.46,0,7.92,3,2.9,0.3011,1.3,115
2020-05-19,"05/19/20 16:10:00",57,16.68,18.46,0,8.14,1.7,5.3,0.3011,1,111
2020-05-19,"05/19/20 16:15:00",56.2,16.56,18.46,0,7.82,2.3,14.7,0.3008,1,94
2020-05-19,"05/19/20 16:20:00",56.4,16.58,18.46,0,7.89,3,11.8,0.3008,1,105
2020-05-19,"05/19/20 16:25:00",55.4,16.61,18.46,0,7.65,2.7,2.9,0.3008,1.3,102
2020-05-19,"05/19/20 16:30:00",56,16.7,18.46,0,7.9,1.7,3.5,0.3008,1,95
2020-05-19,"05/19/20 16:35:00",55.9,16.72,18.46,0,7.89,2.3,2.9,0.3008,1,104
2020-05-19,"05/19/20 16:40:00",56.5,16.84,18.49,0,8.16,1.3,2.9,0.3008,0.7,108
2020-05-19,"05/19/20 16:45:00",55.5,17.22,18.49,0,8.25,2,2.9,0.3008,0.7,110
2020-05-19,"05/19/20 16:50:00",53.3,17.72,18.49,0,8.12,2,2.9,0.3008,0.7,107
2020-05-19,"05/19/20 16:55:00",54.5,17.82,18.49,0,8.54,1.7,3.5,0.3008,1,121
2020-05-19,"05/19/20 17:00:00",54.8,17.84,18.49,0,8.64,2.3,5.9,0.3008,0.7,107
2020-05-19,"05/19/20 17:05:00",56.3,17.84,18.49,0,9.04,1.7,6.5,0.3008,1,118
2020-05-19,"05/19/20 17:10:00",53.1,17.96,18.49,0,8.29,1.7,2.9,0.3005,0.7,102
2020-05-19,"05/19/20 17:15:00",52.6,18.1,18.46,0,8.28,1.3,4.1,0.3005,0.7,107
2020-05-19,"05/19/20 17:20:00",52.4,18.22,18.49,0,8.33,1.7,2.9,0.3005,0.7,115
2020-05-19,"05/19/20 17:25:00",51.5,18.44,18.49,0,8.28,1.7,2.9,0.3005,0.7,105
2020-05-19,"05/19/20 17:30:00",50.5,18.51,18.51,0,8.05,1.7,4.1,0.3005,0.7,122
2020-05-19,"05/19/20 17:35:00",51.8,18.46,18.51,0,8.38,2.7,3.5,0.3001,0.7,108
2020-05-19,"05/19/20 17:40:00",53.2,18.53,18.51,0,8.84,2,2.9,0.3005,0.7,118
2020-05-19,"05/19/20 17:45:00",52.8,18.44,18.49,0,8.64,2.7,2.9,0.3005,0.7,124
2020-05-19,"05/19/20 17:50:00",56.8,18.27,18.49,0,9.57,2,8.8,0.3001,1,118
2020-05-19,"05/19/20 17:55:00",55.5,18.25,18.49,0,9.21,2,17.6,0.3001,1,119
2020-05-19,"05/19/20 18:00:00",54.9,18.18,18.49,0,8.98,1.7,3.5,0.3001,1,112
2020-05-19,"05/19/20 18:05:00",56.2,17.8,18.49,0,8.97,2.7,2.9,0.3001,1,164
2020-05-19,"05/19/20 18:10:00",59.2,17.44,18.51,0,9.41,1.3,4.1,0.3001,0.7,208
2020-05-19,"05/19/20 18:15:00",61,17.2,18.51,0,9.63,1.3,5.3,0.3001,0.3,163
2020-05-19,"05/19/20 18:20:00",63.5,16.99,18.51,0,10.03,1,2.9,0.3001,0.3,173
2020-05-19,"05/19/20 18:25:00",64,16.87,18.51,0,10.03,0.7,8.8,0.2997,0,157
2020-05-19,"05/19/20 18:30:00",67.1,16.72,18.51,0,10.61,0.7,7.6,0.2997,0,131
2020-05-19,"05/19/20 18:35:00",67.9,16.53,18.51,0,10.6,1,13.5,0.2997,0.3,180
2020-05-19,"05/19/20 18:40:00",69.8,16.27,18.51,0,10.77,1.3,25.9,0.2997,0.3,184
2020-05-19,"05/19/20 18:45:00",70.9,16.08,18.51,0,10.82,1,27.6,0.2997,0.3,185
2020-05-19,"05/19/20 18:50:00",72,15.91,18.51,0,10.89,1.7,42.9,0.2997,0.3,197
2020-05-19,"05/19/20 18:55:00",76.5,15.68,18.51,0,11.57,1.7,53.5,0.2997,0.3,174
2020-05-19,"05/19/20 19:00:00",77.3,15.51,18.51,0,11.57,0,62.9,0.2997,0,154
2020-05-19,"05/19/20 19:05:00",77,15.41,18.51,0,11.42,0,58.2,0.2994,0,154
2020-05-19,"05/19/20 19:10:00",77.2,15.34,18.53,0,11.39,1,36.5,0.2994,0,150
2020-05-19,"05/19/20 19:15:00",81.4,15.1,18.53,0,11.96,1,35.3,0.2994,0.3,110
2020-05-19,"05/19/20 19:20:00",77,15.22,18.53,0,11.23,1.7,39.4,0.2994,0.7,129
2020-05-19,"05/19/20 19:25:00",77.7,15.15,18.53,0,11.3,1,39.4,0.2994,0.3,117
2020-05-19,"05/19/20 19:30:00",74.8,15.22,18.53,0,10.8,1,34.7,0.2994,0.3,108
2020-05-19,"05/19/20 19:35:00",72.4,15.37,18.53,0,10.44,1.7,24.7,0.2994,0.7,104
2020-05-19,"05/19/20 19:40:00",66.9,15.94,18.53,0,9.81,2,22.9,0.2994,1,107
2020-05-19,"05/19/20 19:45:00",63.6,16.01,18.53,0,9.13,2.7,22.9,0.2994,1,114
2020-05-19,"05/19/20 19:50:00",59.7,16.18,18.53,0,8.35,1.7,13.5,0.299,1,107
2020-05-19,"05/19/20 19:55:00",56.3,16.37,18.51,0,7.66,2.7,8.8,0.2994,1.3,101
2020-05-19,"05/19/20 20:00:00",54.5,16.42,18.51,0,7.23,2.7,10.6,0.299,1.3,104
2020-05-19,"05/19/20 20:05:00",53.6,16.32,18.51,0,6.9,2.7,11.8,0.299,1,107
2020-05-19,"05/19/20 20:10:00",50.9,16.44,18.51,0,6.26,2.7,15.3,0.299,1.3,102
2020-05-19,"05/19/20 20:15:00",50.5,16.46,18.49,0,6.17,2.7,2.9,0.299,1.3,97
2020-05-19,"05/19/20 20:20:00",50.4,16.37,18.49,0,6.05,2.7,2.9,0.299,1.3,111
2020-05-19,"05/19/20 20:25:00",50.3,16.27,18.49,0,5.93,2,5.3,0.299,1,110
2020-05-19,"05/19/20 20:30:00",49.6,16.25,18.49,0,5.71,2.3,4.1,0.299,1,104
2020-05-19,"05/19/20 20:35:00",50.3,16.18,18.49,0,5.85,3,4.1,0.299,1.3,118
2020-05-19,"05/19/20 20:40:00",51.7,15.84,18.49,0,5.94,1.7,2.9,0.299,1,115
2020-05-19,"05/19/20 20:45:00",50.5,15.91,18.46,0,5.66,2.7,2.9,0.299,1.3,104
2020-05-19,"05/19/20 20:50:00",53,15.56,18.46,0,6.03,2.3,5.9,0.299,1,125
2020-05-19,"05/19/20 20:55:00",50.7,15.58,18.46,0,5.41,3,5.9,0.299,1.3,114
2020-05-19,"05/19/20 21:00:00",51.7,15.34,18.44,0,5.47,3.3,9.4,0.2987,1,115
2020-05-19,"05/19/20 21:05:00",52.2,15.13,18.44,0,5.41,2,20.6,0.2987,1,105
2020-05-19,"05/19/20 21:10:00",51.8,15.1,18.41,0,5.28,2.7,17.6,0.2987,1.3,102
2020-05-19,"05/19/20 21:15:00",52.8,14.86,18.39,0,5.33,1.7,17.1,0.2987,1,107
2020-05-19,"05/19/20 21:20:00",52.8,14.84,18.37,0,5.31,2.7,6.5,0.2987,1.7,115
2020-05-19,"05/19/20 21:25:00",52.8,14.62,18.37,0,5.11,3.3,22.4,0.2987,1.7,102
2020-05-19,"05/19/20 21:30:00",54,14.29,18.34,0,5.12,3.7,34.7,0.2987,2,115
2020-05-19,"05/19/20 21:35:00",56.2,13.81,18.32,0,5.25,3.3,42.9,0.2987,1.7,104
2020-05-19,"05/19/20 21:40:00",57.4,13.57,18.32,0,5.33,2.7,45.3,0.2984,1.3,112
2020-05-19,"05/19/20 21:45:00",57.8,13.52,18.3,0,5.38,2.3,37.1,0.2984,1.3,105
2020-05-19,"05/19/20 21:50:00",63,13.06,18.27,0,6.2,2.7,81.2,0.2984,1,118
2020-05-19,"05/19/20 21:55:00",68.4,12.17,18.25,0,6.54,1.7,88.2,0.2984,1,112
2020-05-19,"05/19/20 22:00:00",72.4,11.64,18.25,0,6.85,2,78.8,0.2984,1,119
2020-05-19,"05/19/20 22:05:00",74.4,11.42,18.2,0,7.04,2.3,57.1,0.2984,1,115
2020-05-19,"05/19/20 22:10:00",75,11.3,18.2,0,7.04,1.3,44.7,0.2984,0.7,121
2020-05-19,"05/19/20 22:15:00",77.4,11.18,18.2,0,7.38,1,38.2,0.2984,0.3,122
2020-05-19,"05/19/20 22:20:00",77,11.22,18.18,0,7.35,1.3,30,0.2984,0.7,102
2020-05-19,"05/19/20 22:25:00",77.3,11.3,18.15,0,7.48,1.3,27.6,0.2984,0.7,132
2020-05-19,"05/19/20 22:30:00",77.1,11.3,18.13,0,7.44,1.7,24.1,0.2984,0.7,115
2020-05-19,"05/19/20 22:35:00",76.7,11.42,18.13,0,7.48,1.3,23.5,0.2984,0.7,91
2020-05-19,"05/19/20 22:40:00",77.1,11.42,18.08,0,7.56,1.3,24.1,0.2984,0.7,118
2020-05-19,"05/19/20 22:45:00",78.1,11.37,18.08,0,7.7,1.7,25.3,0.2984,0.7,132
2020-05-19,"05/19/20 22:50:00",76.9,11.47,18.06,0,7.57,2.3,24.7,0.2979,0.7,111
2020-05-19,"05/19/20 22:55:00",77.3,11.42,18.03,0,7.6,1.7,23.5,0.2979,0.7,100
2020-05-19,"05/19/20 23:00:00",76.3,11.52,18.03,0,7.5,1.3,22.4,0.2979,0.7,124
2020-05-19,"05/19/20 23:05:00",76.2,11.52,18.03,0,7.48,1.3,22.4,0.2979,0.7,115
2020-05-19,"05/19/20 23:10:00",76,11.59,17.99,0,7.52,1.7,20.6,0.2979,0.7,104
2020-05-19,"05/19/20 23:15:00",74.8,11.64,17.96,0,7.33,2,20,0.2979,1,125
2020-05-19,"05/19/20 23:20:00",75.3,11.61,17.96,0,7.4,1.7,20,0.2979,0.7,94
2020-05-19,"05/19/20 23:25:00",74.7,11.69,17.94,0,7.36,1.7,19.4,0.2979,1,117
2020-05-19,"05/19/20 23:30:00",74.2,11.66,17.89,0,7.24,1.7,17.6,0.2979,0.7,118
2020-05-19,"05/19/20 23:35:00",73.4,11.76,17.89,0,7.17,2.7,16.5,0.2979,1,111
2020-05-19,"05/19/20 23:40:00",73,11.71,17.89,0,7.04,1.3,16.5,0.2976,0.7,125
2020-05-19,"05/19/20 23:45:00",72,11.81,17.84,0,6.94,2,15.9,0.2976,1,126
2020-05-19,"05/19/20 23:50:00",71.9,11.81,17.82,0,6.92,2.3,15.9,0.2976,0.7,125
2020-05-19,"05/19/20 23:55:00",71.3,11.83,17.8,0,6.82,1.3,15.3,0.2976,0.7,101
2020-05-20,"05/20/20 00:00:00",70.3,11.88,17.8,0,6.66,1.7,14.7,0.2976,1,108
2020-05-20,"05/20/20 00:05:00",69.6,12,17.77,0,6.63,2.3,14.1,0.2976,1,94
2020-05-20,"05/20/20 00:10:00",68.3,12.07,17.75,0,6.42,1.7,14.1,0.2976,1,112
2020-05-20,"05/20/20 00:15:00",66.2,12.34,17.75,0,6.23,2.7,12.9,0.2976,1.3,105
2020-05-20,"05/20/20 00:20:00",66,12.27,17.7,0,6.11,2,12.9,0.2976,1,105
2020-05-20,"05/20/20 00:25:00",64.7,12.39,17.7,0,5.94,2.7,12.9,0.2976,1.3,114
2020-05-20,"05/20/20 00:30:00",63.9,12.36,17.68,0,5.74,2,12.4,0.2976,1,111
2020-05-20,"05/20/20 00:35:00",62.3,12.51,17.68,0,5.51,2.3,11.8,0.2976,1,98
2020-05-20,"05/20/20 00:40:00",60,12.63,17.65,0,5.08,1.7,11.2,0.2976,1,100
2020-05-20,"05/20/20 00:45:00",58.4,12.77,17.63,0,4.83,2.7,14.7,0.2976,1.3,112
2020-05-20,"05/20/20 00:50:00",57.6,12.68,17.61,0,4.54,3.7,47.1,0.2973,1.3,104
2020-05-20,"05/20/20 00:55:00",56.5,12.53,17.61,0,4.13,2.3,41.2,0.2973,1.3,107
2020-05-20,"05/20/20 01:00:00",58,12.32,17.58,0,4.3,3,28.8,0.2973,1,112
2020-05-20,"05/20/20 01:05:00",58.9,12.17,17.58,0,4.38,1.3,15.3,0.2973,0.7,135
2020-05-20,"05/20/20 01:10:00",57.5,12.29,17.53,0,4.16,2.3,6.5,0.2973,1,110
2020-05-20,"05/20/20 01:15:00",56.4,12.44,17.51,0,4.02,2.7,2.9,0.2973,1,107
2020-05-20,"05/20/20 01:20:00",57.1,12.17,17.49,0,3.94,1.3,4.1,0.2973,0.7,110
2020-05-20,"05/20/20 01:25:00",55.3,12.32,17.46,0,3.62,1.7,2.9,0.2973,0.7,129
2020-05-20,"05/20/20 01:30:00",53,12.58,17.46,0,3.27,3,2.9,0.2973,1,110
2020-05-20,"05/20/20 01:35:00",51.6,12.68,17.44,0,2.98,3,2.9,0.2973,1.3,115
2020-05-20,"05/20/20 01:40:00",48.9,12.68,17.42,0,2.22,2.3,2.9,0.2973,1.3,107
2020-05-20,"05/20/20 01:45:00",48,12.9,17.39,0,2.16,4,2.9,0.2973,2,111
2020-05-20,"05/20/20 01:50:00",46.3,12.85,17.39,0,1.62,4,2.9,0.2973,1.7,100
2020-05-20,"05/20/20 01:55:00",46.3,12.77,17.37,0,1.55,3.3,2.9,0.2973,2,105
2020-05-20,"05/20/20 02:00:00",46.3,12.7,17.37,0,1.48,3,2.4,0.2973,1.7,104
2020-05-20,"05/20/20 02:05:00",46.3,12.58,17.34,0,1.37,3.3,2.4,0.297,1.7,102
2020-05-20,"05/20/20 02:10:00",46.7,12.53,17.32,0,1.45,3,2.4,0.2973,1.3,105
2020-05-20,"05/20/20 02:15:00",47.5,12.41,17.32,0,1.57,3.7,2.4,0.297,1.7,102
2020-05-20,"05/20/20 02:20:00",46.9,12.44,17.3,0,1.42,4,2.4,0.297,2,111
2020-05-20,"05/20/20 02:25:00",46.5,12.41,17.27,0,1.28,5,2.4,0.297,1.7,91
2020-05-20,"05/20/20 02:30:00",46.2,12.34,17.25,0,1.12,3.7,2.4,0.297,2,102
2020-05-20,"05/20/20 02:35:00",47,12.19,17.25,0,1.23,3.3,2.4,0.297,1.7,102
2020-05-20,"05/20/20 02:40:00",47.5,12.12,17.22,0,1.31,3.3,2.4,0.297,1.3,100
2020-05-20,"05/20/20 02:45:00",47.7,12.12,17.2,0,1.37,3.3,2.4,0.297,1.3,104
2020-05-20,"05/20/20 02:50:00",48.9,11.9,17.18,0,1.51,3.3,2.4,0.297,1,91
2020-05-20,"05/20/20 02:55:00",49.4,11.76,17.27,0,1.52,2.3,2.9,0.297,1,107
2020-05-20,"05/20/20 03:00:00",49.1,11.73,17.37,0,1.41,2,2.4,0.297,1,98
2020-05-20,"05/20/20 03:05:00",50.1,11.78,17.37,0,1.74,3,2.4,0.297,1.3,95
2020-05-20,"05/20/20 03:10:00",50,11.69,17.34,0,1.62,2.7,2.4,0.297,1.3,102
2020-05-20,"05/20/20 03:15:00",48.2,11.73,17.34,0,1.16,4,2.9,0.297,2,104
2020-05-20,"05/20/20 03:20:00",50.1,11.52,17.34,0,1.49,4,2.9,0.297,2,102
2020-05-20,"05/20/20 03:25:00",50.1,11.39,17.32,0,1.38,7.3,2.9,0.297,2,117
2020-05-20,"05/20/20 03:30:00",49.7,11.3,17.32,0,1.18,3.7,3.5,0.297,2,100
2020-05-20,"05/20/20 03:35:00",51.1,11.1,17.3,0,1.39,2.3,2.4,0.297,1.3,105
2020-05-20,"05/20/20 03:40:00",51.5,11.03,17.3,0,1.43,3.3,2.4,0.297,1.3,107
2020-05-20,"05/20/20 03:45:00",50.1,11.13,17.27,0,1.13,3,2.4,0.297,1.7,110
2020-05-20,"05/20/20 03:50:00",50.2,11.05,17.25,0,1.09,3,2.9,0.297,1.3,100
2020-05-20,"05/20/20 03:55:00",50.9,10.96,17.22,0,1.2,2.3,4.7,0.297,1.3,101
2020-05-20,"05/20/20 04:00:00",52,10.86,17.22,0,1.4,2.7,4.1,0.297,1.3,107
2020-05-20,"05/20/20 04:05:00",51.4,10.88,17.2,0,1.26,2,4.1,0.297,1,97
2020-05-20,"05/20/20 04:10:00",50.6,10.96,17.18,0,1.11,3.7,4.1,0.297,1.3,108
2020-05-20,"05/20/20 04:15:00",50.1,11.03,17.18,0,1.04,4,3.5,0.297,2,107
2020-05-20,"05/20/20 04:20:00",50.5,11,17.13,0,1.13,4.3,4.1,0.297,2.3,107
2020-05-20,"05/20/20 04:25:00",51.5,10.93,17.13,0,1.34,3.7,4.1,0.297,1.7,104
2020-05-20,"05/20/20 04:30:00",51.6,10.88,17.11,0,1.32,3.3,4.1,0.2966,1.7,102
2020-05-20,"05/20/20 04:35:00",52.2,10.76,17.08,0,1.37,2.7,2.9,0.2966,1,108
2020-05-20,"05/20/20 04:40:00",52.3,10.76,17.08,0,1.39,3,5.3,0.2966,1.7,107
2020-05-20,"05/20/20 04:45:00",52.3,10.69,17.03,0,1.32,3,2.4,0.2966,1.3,90
2020-05-20,"05/20/20 04:50:00",53.4,10.69,17.03,0,1.61,2.7,2.4,0.2966,1.3,100
2020-05-20,"05/20/20 04:55:00",52.5,10.74,17.01,0,1.42,5.3,2.4,0.2966,2,108
2020-05-20,"05/20/20 05:00:00",53.2,10.66,16.99,0,1.54,3,2.4,0.2966,1.7,98
2020-05-20,"05/20/20 05:05:00",53,10.66,16.99,0,1.49,4.3,2.4,0.2966,2,104
2020-05-20,"05/20/20 05:10:00",54.1,10.54,16.96,0,1.66,4.3,2.4,0.2966,1.7,101
2020-05-20,"05/20/20 05:15:00",53.9,10.52,16.96,0,1.59,4,2.9,0.2966,2,110
2020-05-20,"05/20/20 05:20:00",54.8,10.42,16.92,0,1.73,2.7,2.4,0.2966,1.7,107
2020-05-20,"05/20/20 05:25:00",54.8,10.42,16.92,0,1.73,3.3,2.4,0.2966,1.7,105
2020-05-20,"05/20/20 05:30:00",55,10.34,16.89,0,1.71,4.3,2.4,0.2966,1.7,121
2020-05-20,"05/20/20 05:35:00",54.3,10.47,16.87,0,1.64,4.3,2.4,0.2966,2,101
2020-05-20,"05/20/20 05:40:00",54,10.54,16.87,0,1.63,4.7,2.4,0.2966,2,104
2020-05-20,"05/20/20 05:45:00",54.2,10.44,16.84,0,1.59,3.3,2.4,0.2966,1.7,107
2020-05-20,"05/20/20 05:50:00",53.9,10.44,16.84,0,1.52,3,2.4,0.2966,1.7,110
2020-05-20,"05/20/20 05:55:00",52.7,10.54,16.82,0,1.29,3.7,2.9,0.2966,2,102
2020-05-20,"05/20/20 06:00:00",53.6,10.44,16.8,0,1.44,4,2.9,0.2966,2,114
2020-05-20,"05/20/20 06:05:00",53.2,10.39,16.8,0,1.29,3.3,3.5,0.2966,1.7,107
2020-05-20,"05/20/20 06:10:00",53.2,10.37,16.8,0,1.27,3.7,2.4,0.2963,1.7,110
2020-05-20,"05/20/20 06:15:00",52.8,10.34,16.75,0,1.14,3.7,2.4,0.2963,2,107
2020-05-20,"05/20/20 06:20:00",52.8,10.3,16.75,0,1.09,3,4.7,0.2963,1.7,104
2020-05-20,"05/20/20 06:25:00",53.4,10.22,16.72,0,1.18,4,2.4,0.2963,1.7,101
2020-05-20,"05/20/20 06:30:00",53.1,10.22,16.72,0,1.1,3,2.4,0.2963,1.7,104
2020-05-20,"05/20/20 06:35:00",52.4,10.27,16.7,0,0.97,3.7,2.4,0.2963,1.7,107
2020-05-20,"05/20/20 06:40:00",52.8,10.3,16.68,0,1.09,3.7,2.4,0.2963,1.7,118
2020-05-20,"05/20/20 06:45:00",53.6,10.17,16.65,0,1.19,2.3,2.4,0.2963,1,107
2020-05-20,"05/20/20 06:50:00",53.8,10.12,16.68,0,1.19,2.3,2.4,0.2963,1.3,112
2020-05-20,"05/20/20 06:55:00",52.6,10.15,16.65,0,0.9,2.7,2.4,0.2963,1,93
2020-05-20,"05/20/20 07:00:00",53.7,10.15,16.8,0,1.19,2.7,2.9,0.2963,1.3,114
2020-05-20,"05/20/20 07:05:00",54,10.1,16.77,0,1.22,2.7,2.9,0.2963,1,108
2020-05-20,"05/20/20 07:10:00",53.7,10.12,16.75,0,1.17,2.3,3.5,0.2963,1.3,111
2020-05-20,"05/20/20 07:15:00",54.9,10.1,16.75,0,1.45,3.7,11.8,0.2963,1.3,108
2020-05-20,"05/20/20 07:20:00",56.1,9.98,16.75,0,1.64,2,18.8,0.2963,1,110
2020-05-20,"05/20/20 07:25:00",56.2,9.88,16.77,0,1.57,2,18.2,0.2963,1,114
2020-05-20,"05/20/20 07:30:00",55.7,9.9,16.75,0,1.47,2,17.6,0.2963,1,117
2020-05-20,"05/20/20 07:35:00",59.5,9.83,16.77,0,2.33,1.7,17.6,0.2963,0.7,100
2020-05-20,"05/20/20 07:40:00",57.9,9.8,16.8,0,1.92,1.7,18.2,0.2963,0.7,84
2020-05-20,"05/20/20 07:45:00",58.5,9.78,16.8,0,2.04,1.3,20,0.2963,0.7,117
2020-05-20,"05/20/20 07:50:00",59.9,9.78,16.77,0,2.37,1,26.5,0.2963,0.7,125
2020-05-20,"05/20/20 07:55:00",59.3,9.76,16.8,0,2.21,1.3,34.7,0.2963,0.3,118
2020-05-20,"05/20/20 08:00:00",59.6,9.73,16.77,0,2.26,1,31.2,0.2963,0.3,93
2020-05-20,"05/20/20 08:05:00",58,9.83,16.75,0,1.97,1.7,18.8,0.2963,0.7,114
2020-05-20,"05/20/20 08:10:00",59.5,9.8,16.75,0,2.3,1.7,6.5,0.2963,1,105
2020-05-20,"05/20/20 08:15:00",59.1,9.85,16.75,0,2.25,1.7,2.9,0.2963,0.7,102
2020-05-20,"05/20/20 08:20:00",57.1,9.98,16.72,0,1.89,1.7,2.4,0.2963,1,110
2020-05-20,"05/20/20 08:25:00",56.1,10.1,16.7,0,1.76,2,3.5,0.2963,1,107
2020-05-20,"05/20/20 08:30:00",57.6,10.08,16.7,0,2.1,1.3,11.8,0.2963,0.7,102
2020-05-20,"05/20/20 08:35:00",57,10.08,16.72,0,1.95,2,24.7,0.2963,1,118
2020-05-20,"05/20/20 08:40:00",57.7,10.08,16.7,0,2.13,1.7,40,0.2963,1,101
2020-05-20,"05/20/20 08:45:00",57.2,9.95,16.7,0,1.89,2,51.2,0.2963,1,105
2020-05-20,"05/20/20 08:50:00",60.5,9.71,16.68,0,2.44,2,70,0.2963,1,98
2020-05-20,"05/20/20 08:55:00",57.8,9.61,16.68,0,1.71,3,61.8,0.2963,1.7,97
2020-05-20,"05/20/20 09:00:00",59,9.53,16.68,0,1.93,2,72.4,0.2963,1.3,95
2020-05-20,"05/20/20 09:05:00",60.7,9.39,16.65,0.3,2.19,2,80.6,0.2963,1,101
2020-05-20,"05/20/20 09:10:00",63.5,9.24,16.65,0,2.68,2.3,71.8,0.2963,1,100
2020-05-20,"05/20/20 09:15:00",63.4,9.19,16.65,0,2.61,2.7,77.1,0.2963,1.3,104
2020-05-20,"05/20/20 09:20:00",66.4,9.26,16.65,0,3.33,1.7,68.8,0.2963,0.7,111
2020-05-20,"05/20/20 09:25:00",67.8,9.36,16.65,0,3.72,2.7,51.8,0.2963,1,98
2020-05-20,"05/20/20 09:30:00",65.9,9.63,16.65,0,3.58,2.7,40.6,0.2963,1,102
2020-05-20,"05/20/20 09:35:00",65.3,9.93,16.65,0,3.73,2,22.4,0.2963,1,105
2020-05-20,"05/20/20 09:40:00",65.9,10.39,16.65,0,4.31,1.7,18.8,0.2963,0.7,97
2020-05-20,"05/20/20 09:45:00",61.2,10.61,16.68,0,3.46,2.3,17.6,0.2963,1.3,108
2020-05-20,"05/20/20 09:50:00",62.9,11.03,16.7,0,4.24,2.3,17.1,0.2963,1,93
2020-05-20,"05/20/20 09:55:00",59.1,11.37,16.75,0,3.68,2.7,15.9,0.2963,1.3,110
2020-05-20,"05/20/20 10:00:00",58.3,12,16.77,0,4.08,2.3,14.7,0.2963,1,102
2020-05-20,"05/20/20 10:05:00",56.2,12.12,16.77,0,3.67,2,14.1,0.2966,1,101
2020-05-20,"05/20/20 10:10:00",53.6,12.51,16.82,0,3.36,3,11.8,0.2966,1.7,108
2020-05-20,"05/20/20 10:15:00",48.6,12.7,16.89,0,2.16,4,8.2,0.2966,1.7,101
2020-05-20,"05/20/20 10:20:00",47,12.8,16.89,0,1.78,3.7,5.9,0.2966,1.7,94
2020-05-20,"05/20/20 10:25:00",49,12.49,16.89,0,2.08,3.3,2.9,0.2966,2,97
2020-05-20,"05/20/20 10:30:00",44.2,12.46,16.87,0,0.62,3.7,2.9,0.2966,1.7,94
2020-05-20,"05/20/20 10:35:00",44,12.29,16.87,0,0.4,4,2.9,0.2963,2,97
2020-05-20,"05/20/20 10:40:00",45.6,12.22,16.87,0,0.83,3,2.9,0.2963,1.7,100
